ProjectId,ProjectName_june,SectorName_june,StateName_june,LineMinistry_june,COMPANYNAME_june,AgencyId_june,AgencyName_june,OriginalCost_june,RevisedCost_june,RevisedCostReason_june,Expenditure_june,SanctionDate_june,CreationDate_june,StartDate_june,OriginalEndDate_june,RevisedDate_june,RevisedDateReason_june,DELAYED_TIME_june,COST_OVERRUN_PERC_june,COST_OVERRUN_june,COR_PERC_june,TOR_PERC_june,PhysicalProgress_june,OnboardingDelay_june,Remarks_june,ProjectName_july,SectorName_july,StateName_july,LineMinistry_july,COMPANYNAME_july,AgencyId_july,AgencyName_july,OriginalCost_july,RevisedCost_july,RevisedCostReason_july,Expenditure_july,SanctionDate_july,CreationDate_july,StartDate_july,OriginalEndDate_july,RevisedDate_july,RevisedDateReason_july,DELAYED_TIME_july,COST_OVERRUN_PERC_july,COST_OVERRUN_july,COR_PERC_july,TOR_PERC_july,PhysicalProgress_july,OnboardingDelay_july,Remarks_july,physical_progress,original_cost,revised_cost,expenditure,cost_overrun,cost_overrun_perc,cost_ratio,expenditure_rate,months_since_sanction,months_to_anticipated_completion,execution_velocity,monsoon_overlap,SectorName_june_freq,LineMinistry_june_freq,COMPANYNAME_june_freq,predictive_risk_index,observed_velocity,required_velocity,recoverability_score
706724,Guwahati Airport New Integrated Terminal Building Construction Project,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Adani Airport Holdings Limited,0,,1712,2520.0,,2660.15,01/12/2016,,,31/03/2025,30/06/2026,,0.0,0,0,,,99,0,,Guwahati Airport New Integrated Terminal Building Construction Project,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Adani Airport Holdings Limited,0,,1712,2520.0,,2670.23,01/12/2016,,,31/03/2025,30/06/2026,,0,0,0,,,100,0,,99.0,1712.0,2520.0,2660.15,0.0,0.0,1.47196261682243,1.0556150793650794,114.91458607095926,1.0,0.8615094339622642,0.0,0.014434180138568129,0.014434180138568129,0.0005773672055427252,15.297300871221807,1.0,1.0,100.0
611602,"Modernization of Chennai Airport, Phase II, Part 2",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1207,,,314.15,14/05/2018,,,31/07/2025,31/12/2026,,0.0,0,0,,,44,0,,"Modernization of Chennai Airport, Phase II, Part 2",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1207,,,331.85,14/05/2018,,,31/07/2025,31/12/2026,,0,0,0,,,46,0,,44.0,1207.0,1207.0,314.15,0.0,0.0,1.0,0.26027340513670255,97.53613666228647,6.044678055190539,0.4511148534860222,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.584116431485855,2.0,9.264347826086956,21.588135911394783
612791,"Re-Construction of Rigid portions of Secondary Runway, K and  A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,328,,,148.75,04/03/2023,,,02/10/2025,31/08/2026,,0.0,0,0,,,71,0,,"Re-Construction of Rigid portions of Secondary Runway, K and  A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,328,,,153.52,04/03/2023,,,02/10/2025,31/08/2026,,0,0,0,,,74,0,,71.0,328.0,328.0,148.75,0.0,0.0,1.0,0.4535060975609756,39.88173455978975,2.0367936925098555,1.7802635914332785,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,14.876133986265886,3.0,14.238064516129032,21.070279577688158
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,500,,,398.75,18/12/2020,,,11/09/2025,31/08/2026,,0.0,0,0,,,80,0,,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,500,,,399.77,18/12/2020,,,11/09/2025,31/08/2026,,0,0,0,,,80,0,,80.0,500.0,500.0,398.75,0.0,0.0,1.0,0.7975,66.36005256241786,2.0367936925098555,1.2055445544554457,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,14.928083187964544,0.0,9.819354838709677,0.0
612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,323,,,87.6,21/11/2023,,,02/06/2026,30/06/2027,,0.0,0,0,,,36,0,,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,323,,,87.61,21/11/2023,,,02/06/2026,30/06/2027,,0,0,0,,,36,0,,36.0,323.0,323.0,87.6,0.0,0.0,1.0,0.2712074303405573,31.274638633377133,11.990801576872535,1.15109243697479,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.251367739820031,0.0,5.337424657534247,0.0
613800, JAGANNATHPUR OC RCE PROJECT,Coal,,Ministry of Coal,SECL - CIL,0,,459,,,278.71,25/07/2016,,,31/03/2025,31/03/2027,,0.0,0,0,,,96,0,, JAGANNATHPUR OC RCE PROJECT,Coal,,Ministry of Coal,SECL - CIL,0,,459,,,290.4,25/07/2016,,,31/03/2025,31/03/2027,,0,0,0,,,96,0,,96.0,459.0,459.0,278.71,0.0,0.0,1.0,0.6072113289760348,119.15243101182654,9.00131406044678,0.8056906534325889,3.0,0.06639722863741339,0.06986143187066975,0.008660508083140877,4.123965932063449,0.0,0.4443795620437956,0.0
400142, Pachwara South Coal Block,Coal,,Ministry of Coal,NLC India Limited,0,,2243,,,1422.51,10/03/2016,,,30/09/2028,,,0.0,0,0,,,87,0,, Pachwara South Coal Block,Coal,,Ministry of Coal,NLC India Limited,0,,2243,,,1432.45,10/03/2016,,,30/09/2028,,,0,0,0,,,87,0,,87.0,2243.0,2243.0,1422.51,0.0,0.0,1.0,0.6341997325011146,123.65308804204993,27.036793692509853,0.7035812964930925,3.0,0.06639722863741339,0.06986143187066975,0.0017321016166281756,4.1342450014580425,0.0,0.48082624544349944,0.0
616223,ADASA UG TO OC MINE,Coal,,Ministry of Coal,WCL - CIL,0,,316,,,209.29,16/11/2018,,,31/03/2024,31/03/2027,,0.0,0,0,,,86,0,,ADASA UG TO OC MINE,Coal,,Ministry of Coal,WCL - CIL,0,,316,,,209.29,16/11/2018,,,31/03/2024,31/03/2027,,0,0,0,,,86,0,,86.0,316.0,316.0,209.29,0.0,0.0,1.0,0.6623101265822785,91.4257555847569,9.00131406044678,0.9406539705353935,3.0,0.06639722863741339,0.06986143187066975,0.018475750577367205,4.120166863670703,0.0,1.5553284671532845,0.0
400148,AMADAND OCP[4.0MTY],Coal,,Ministry of Coal,SECL - CIL,0,,869,,,324.92,05/03/2016,,,31/03/2021,31/03/2027,,0.0,0,0,,,75,0,,AMADAND OCP[4.0MTY],Coal,,Ministry of Coal,SECL - CIL,0,,869,,,325.09,05/03/2016,,,31/03/2021,31/03/2027,,0,0,0,,,75,0,,75.0,869.0,869.0,324.92,0.0,0.0,1.0,0.3739010356731876,123.8173455978975,9.00131406044678,0.605730963120191,3.0,0.06639722863741339,0.06986143187066975,0.008660508083140877,4.629217510650122,0.0,2.7773722627737225,0.0
616229,AMAL GONDEGAON GHATROHANA EXPN,Coal,,Ministry of Coal,WCL - CIL,0,,669,,,2.95,10/09/2024,,,31/03/2029,,,0.0,0,0,,,3,0,,AMAL GONDEGAON GHATROHANA EXPN,Coal,,Ministry of Coal,WCL - CIL,0,,669,,,2.95,10/09/2024,,,31/03/2029,,,0,0,0,,,3,0,,3.0,669.0,669.0,2.95,0.0,0.0,1.0,0.004409566517189835,21.616294349540077,33.01576872536137,0.1387841945288754,3.0,0.06639722863741339,0.06986143187066975,0.018475750577367205,4.706714028579176,0.0,2.9379900497512437,0.0
